,,,accuracy,accuracy,sensitivity,sensitivity,specificity,specificity,precision,precision,f1,f1,macro_recall,macro_recall,macro_f1,macro_f1,auroc,auroc,ap,ap
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
cohort,rule,model,,,,,,,,,,,,,,,,,,
complete-case,@0.5,CNN(trained)+clinical+RF,0.911344537815126,0.0159897462634598,0.4139705882352941,0.1441001389925427,0.9893483943241226,0.010668664959724967,0.8851495726495727,0.1055684949449511,0.5453506818019561,0.12523485030197543,0.7016594912797083,0.06858769760944214,0.748073439118406,0.06650225564917708,0.8815793962515925,0.020249673017711425,0.6949736777318467,0.060369076699550696
complete-case,@0.5,CNN(untrained)+clinical+RF,0.9054971988795518,0.015396725245260676,0.3584558823529412,0.12032603907927618,0.991290141896938,0.008497487688272506,0.8885642135642137,0.10861407973914379,0.4956530456576223,0.1296123892112292,0.6748730121249397,0.058237991938322145,0.7217246367840575,0.06856254802615057,0.8720932818609146,0.022341951170078173,0.6631849314286398,0.06770208786065963
complete-case,@0.5,CNN+BiLSTM(trained)+clinical+RF [proposed],0.907170868347339,0.01995065689131146,0.3830882352941177,0.1413389247767754,0.9893577296489917,0.011609798414008835,0.8714285714285713,0.13735548075238413,0.5162831571227373,0.13268788415632074,0.6862229824715548,0.06947754872460273,0.7324360636253451,0.07130445859513121,0.874078548521724,0.03331951172016751,0.6539903434539154,0.0762436319927147
complete-case,@0.5,CNN+BiLSTM(untrained)+clinical+RF [as published],0.9013305322128853,0.014668932282129206,0.33382352941176474,0.10816018458121651,0.9903472740851381,0.00641043767613762,0.8536507936507937,0.09505858302525406,0.46892649684411697,0.12386017966431631,0.6620854017484514,0.0532081991359096,0.7072469595503492,0.06562470138327205,0.8655963934070641,0.025686273668563825,0.649259452264524,0.0656077141031358
complete-case,@0.5,RF on clinical features only [baseline],0.8930322128851541,0.02397405324280695,0.32830882352941176,0.15379828724144043,0.9816094100074683,0.0173828773736076,0.7794011544011543,0.1803717532141949,0.43762942399082216,0.16520490693627624,0.65495911676844,0.0756016806671426,0.6891870109637812,0.0878751834896708,0.8888717264585072,0.029976633793602863,0.6167217137315374,0.0674332540422319
complete-case,@tuned,CNN(trained)+clinical+RF,0.9038165266106443,0.016523387524832,0.3150735294117647,0.13216046734625708,0.9961258401792381,0.005001591423113377,0.9417424242424243,0.08008869337331119,0.4573673071567808,0.13173442041437425,0.6555996847955015,0.06474277255451782,0.7022747375488785,0.07004906014699172,0.8815793962515925,0.020249673017711425,0.6949736777318467,0.060369076699550696
complete-case,@tuned,CNN(untrained)+clinical+RF,0.8913025210084033,0.013616394112217753,0.22279411764705884,0.0930759602227966,0.9961258401792381,0.006779564331303992,0.9314285714285715,0.11284810090360854,0.3480918204602415,0.12353892342404778,0.6094599789131485,0.04550963462320747,0.6443758814020673,0.064906861209054,0.8720932818609146,0.022341951170078173,0.6631849314286398,0.06770208786065963
complete-case,@tuned,CNN+BiLSTM(trained)+clinical+RF [proposed],0.9054831932773109,0.01739591427967572,0.3330882352941177,0.13771587506634908,0.9951549663928304,0.006857839473802618,0.9268181818181818,0.10110614121127165,0.4746457889936151,0.1412571104040777,0.664121600843474,0.06739571578965038,0.7113255867732845,0.0750302667899312,0.874078548521724,0.03331951172016751,0.6539903434539154,0.0762436319927147
complete-case,@tuned,CNN+BiLSTM(untrained)+clinical+RF [as published],0.902156862745098,0.01488796908958396,0.30257352941176474,0.11193026630706698,0.9961351755041076,0.004989564004441852,0.9353174603174603,0.0905683880005262,0.4452278232827432,0.13194549898140312,0.6493543524579362,0.05506710675959826,0.6957635258573522,0.06973841593347552,0.8655963934070641,0.025686273668563825,0.649259452264524,0.0656077141031358
complete-case,@tuned,RF on clinical features only [baseline],0.8837885154061624,0.011335324285548693,0.18566176470588236,0.08793265773984878,0.993213218820015,0.006548353149700923,0.8516666666666668,0.13843258376160428,0.2925783011353075,0.12097470916647261,0.5894374917629486,0.04224288080712734,0.6146087984648302,0.06290419165589411,0.8888717264585072,0.029976633793602863,0.6167217137315374,0.0674332540422319
full-imputed,@0.5,CNN(untrained)+clinical+RF,0.5688348441161135,0.018833759855393546,0.5895752895752896,0.03999554083168956,0.5665534634204766,0.022980497694474397,0.12989026598457523,0.006669073237682828,0.21280827087213053,0.010891026937109995,0.5780643764978831,0.01678113131006614,0.4578341018479087,0.011022991228416873,0.6161244792607042,0.015901073377446232,0.14001238240762456,0.009189858062800748
full-imputed,@0.5,CNN+BiLSTM(untrained)+clinical+RF [as published],0.5706063233012332,0.01979357183583746,0.6074726512226511,0.04908777553328789,0.5665530770612747,0.024363078078796833,0.13327705248602617,0.008309067971209292,0.21851051696708895,0.013723778026617051,0.587012864141963,0.020820409204935404,0.4610992960790277,0.012101000301602334,0.6248546613147514,0.016036973781219852,0.15704949543660804,0.015524028454030838
full-imputed,@0.5,RF on clinical features only [baseline],0.5671513107061418,0.01990849725815602,0.5779198841698842,0.05660894757424299,0.5659635895088022,0.023525252815459148,0.12745149818093907,0.010600250045301417,0.20877044330043487,0.017483806989478566,0.5719417368393432,0.026539518126513405,0.4552961492569253,0.013878272453368609,0.6109880100519824,0.016922434813879225,0.13578896588958422,0.006867433662752774
full-imputed,@tuned,CNN(untrained)+clinical+RF,0.8586970519319802,0.026182559511724754,0.08687258687258688,0.04679184642496858,0.9433680477076342,0.033785875183752256,0.15180602019384,0.03869150321454398,0.10227551035381592,0.036006958083404726,0.5151203172901105,0.009242537343954997,0.5126373601464271,0.01243884312041185,0.6161244792607042,0.015901073377446232,0.14001238240762456,0.009189858062800748
full-imputed,@tuned,CNN+BiLSTM(untrained)+clinical+RF [as published],0.8642772898881205,0.02819712279324278,0.0949565637065637,0.05449621174887169,0.9486777822209087,0.036911024502042776,0.19515442832197719,0.07377543413815764,0.11409978970203716,0.03696195314936845,0.5218171729637361,0.011314281256712026,0.5201197879775741,0.011980296073482262,0.6248546613147514,0.016036973781219852,0.15704949543660804,0.015524028454030838
full-imputed,@tuned,RF on clinical features only [baseline],0.855331084434226,0.027574292726705134,0.08415379665379666,0.03931930305718429,0.9399265531156973,0.034314133528859495,0.14616320405827127,0.05862614494038232,0.09873506396398968,0.03138750842786562,0.512040174884747,0.008627213534925734,0.5098878705317034,0.011829758592962224,0.6109880100519824,0.016922434813879225,0.13578896588958422,0.006867433662752774
