feature,delta_auc,sd
learned_4,0.010516826923076927,0.003921245256673038
learned_0,0.008067908653846179,0.0027723727537806455
learned_30,0.0059495192307692565,0.004283932734489609
learned_44,0.004657451923076966,0.004584178576440014
Platelets,0.00453725961538462,0.006357068188680143
learned_11,0.004266826923076955,0.002937343608136987
Eosinophils,0.003981370192307698,0.00134337085158634
learned_8,0.0038912259615384694,0.0017814100667400865
learned_46,0.0037710336538461843,0.0008309529332346576
learned_33,0.003710937500000011,0.0028510463482772372
learned_14,0.0032001201923077204,0.0025448344158366144
learned_61,0.0031550480769231117,0.0026512213647570987
learned_27,0.0029296875000000165,0.002828153030260098
Mean corpuscular hemoglobin concentration (MCHC),0.0025691105769231116,0.001391569881896329
learned_79,0.0023137019230769274,0.0018156101370217735
learned_85,0.0022085336538461954,0.0012252653743150608
learned_17,0.002133413461538486,0.001143802061939567
Monocytes,0.0021334134615384804,0.0013333358012219796
learned_54,0.0020883413461538656,0.0029046949252859774
learned_101,0.001998197115384642,0.0013312179819728687
learned_94,0.0019831730769231002,0.0008781033170794582
learned_35,0.001968149038461553,0.001703688864743315
learned_62,0.0019681490384615475,0.0013420259674032924
learned_1,0.001953125000000022,0.001355498025076903
learned_92,0.001938100961538497,0.000701318510636041
learned_5,0.0018629807692307654,0.0012663045376025137
Hemoglobin,0.0018329326923077149,0.0013128637184467236
learned_45,0.001727764423076955,0.0012493461388512468
learned_58,0.0016977163461538935,0.0010550041985613367
learned_95,0.0016526442307692236,0.0013981238129965904
Patient age quantile,0.0016376201923077095,0.0009712317523373728
learned_119,0.001592548076923095,0.0009118984919166685
learned_89,0.001577524038461553,0.0008331232351569577
learned_41,0.0015625000000000333,0.0014398015084989076
learned_125,0.0015625000000000278,0.0007148664214765898
learned_52,0.001532451923076944,0.0013128637184467297
learned_123,0.0015174278846154133,0.003248077587995078
learned_37,0.0012770432692307877,0.0007885831413467913
learned_91,0.0012469951923077093,0.000653329774794462
learned_57,0.0012169471153846202,0.0009987313614555349
learned_66,0.0012019230769230783,0.001323480501535178
learned_68,0.0011868990384615364,0.0007077263048866697
learned_126,0.0011718750000000223,0.0016510044312279112
learned_20,0.0011418269230769774,0.0015945311492093365
learned_80,0.001111778846153877,0.0009787558578667158
learned_110,0.0010967548076923073,0.0005801302456823326
learned_67,0.0010667067307692456,0.0007510516676652714
learned_2,0.0010216346153846423,0.001750542267263154
learned_19,0.0009014423076923351,0.0016181384636822468
learned_63,0.0008864182692307987,0.0014550065709666312
learned_50,0.0008864182692307932,0.0006547102935547098
learned_28,0.0008864182692307765,0.00027662188460818266
learned_120,0.0008563701923077205,0.0009749431840689797
learned_76,0.0008563701923076927,0.0004962483342822784
learned_3,0.0008263221153846645,0.001040353643465384
learned_25,0.00082632211538462,0.0005611433112074179
learned_75,0.0008112980769231004,0.0024096609359183585
learned_108,0.0008112980769230893,0.0005383555549029313
learned_32,0.0007962740384615585,0.0058406806994231245
learned_77,0.0007962740384615419,0.0009932923483212384
learned_112,0.0007662259615384803,0.0007077263048866246
learned_117,0.0007662259615384637,0.001161718655181666
learned_114,0.0007361778846154022,0.0013850664235571886
learned_127,0.0007361778846153799,0.0021447571354789073
learned_109,0.0007211538461538769,0.001318011550448385
learned_43,0.0006911057692307821,0.0007053302039846976
learned_34,0.0006760817307692679,0.0011786930298323184
learned_84,0.0006610576923077205,0.0018366234122519154
Lymphocytes,0.0006460336538461952,0.0009176969984420375
Mean corpuscular hemoglobin (MCH),0.0006460336538461675,0.0007617943109427233
learned_111,0.0006159855769230727,0.001442542423807677
learned_93,0.000600961538461553,0.0009874805724251572
