model,n,auroc,auroc_sd,ap,sens_at_spec90,sens_at_spec80,sens_at_05
A1  RF + median imputation (current baseline),5644,0.6171654762551801,0.01775512097887189,0.14347949262184323,0.16216216216216214,0.29923584298584294,0.5806708494208495
A2  RF + imputation + missingness indicators,5644,0.6105793976849492,0.017947133179450986,0.1398139720963213,0.1585826898326898,0.29746621621621616,0.5636502574002574
A3  RF + imputation + indicators + test count,5644,0.6109898360203161,0.01727610951130098,0.13919400996397563,0.1576898326898327,0.2974662162162162,0.5654359716859717
"A4  HistGradientBoosting, native NaN handling",5644,0.6609300696749842,0.01234954853003754,0.21181697946920322,0.26707689832689835,0.4175514800514801,0.799203667953668
A5  HistGradientBoosting + indicators,5644,0.6609300696749842,0.01234954853003754,0.21181697946920322,0.26707689832689835,0.4175514800514801,0.799203667953668
A6  HistGradientBoosting + indicators + count,5644,0.6635398451735359,0.00824041654893214,0.21459380613551526,0.2598696911196911,0.4543597168597168,0.8037081724581725
"A7  XGBoost, native NaN handling",5644,0.6558469278256471,0.01062727152936694,0.21444163348964543,0.23118564993564994,0.3655244530244531,0.6675997425997426
A8  XGBoost + indicators + count,5644,0.6541920997121199,0.012142681435883908,0.2122012126754238,0.2293838481338481,0.3619610682110682,0.6649453024453025
A9  Test count alone (how many assays ordered),5644,0.509707322631708,0.021809043475947844,0.11114372020552252,0.9166586229086231,0.9166586229086231,0.06812258687258686
"B1  RF (current, 500 trees)",598,0.8927752136141986,0.02850513486232892,0.6250428285270717,0.7036764705882353,0.8088235294117647,0.3095588235294118
B2  HistGradientBoosting,598,0.8629380910084347,0.037369828762192726,0.5991864379973417,0.6055147058823529,0.7591911764705882,0.6363970588235294
B3  XGBoost,598,0.867980144587708,0.02393718231175486,0.6076195486887741,0.6297794117647059,0.7724264705882353,0.5808823529411764
B4  L2 logistic regression,598,0.8669849028577076,0.0371086787797871,0.6325205081419578,0.6422794117647059,0.7650735294117647,0.7283088235294117
